,GEOID,num_scouts,scouts_per_tract,female_cub_scouts,male_cub_scouts,female_troop_scouts,male_troop_scouts,female_cub_total,female_troop_total,male_cub_total,male_troop_total,fcubs_per_tract,mcubs_per_tract,ftroops_per_tract,mtroops_per_tract,female_scouts,female_per_tract,male_scouts,male_per_tract,cub_youth_total,troop_youth_total,total_pop,cub_scouts,troop_scouts,cub_per_tract,troop_per_tract,2022_youth_total,2022_scouts_per_tract,2023_difference_total,2023_difference_per_tract
67,36005013500,4,0.5044136191677175,0.0,0.0,2.0,2.0,124.0,212.0,249.0,208.0,0.0,0.0,0.9433962264150944,0.9615384615384616,2.0,0.5952380952380952,2.0,0.437636761487965,373.0,420.0,793,0.0,4.0,0.0,0.9523809523809524,0.0,0.0,4.0,0.5044136191677175
68,36005013800,1,0.398406374501992,0.0,0.0,0.0,1.0,85.0,86.0,13.0,67.0,0.0,0.0,0.0,1.4925373134328357,0.0,0.0,1.0,1.25,98.0,153.0,251,0.0,1.0,0.0,0.6535947712418301,2.0,0.796812749003984,-1.0,-0.398406374501992
69,36005014100,6,0.5328596802841918,0.0,0.0,1.0,5.0,339.0,296.0,226.0,265.0,0.0,0.0,0.33783783783783783,1.8867924528301887,1.0,0.15748031496062992,5.0,1.0183299389002036,565.0,561.0,1126,0.0,6.0,0.0,1.06951871657754,0.0,0.0,6.0,0.5328596802841918
70,36005014300,2,0.6024096385542169,0.0,2.0,0.0,0.0,136.0,78.0,71.0,47.0,0.0,2.8169014084507045,0.0,0.0,0.0,0.0,2.0,1.694915254237288,207.0,125.0,332,2.0,0.0,0.966183574879227,0.0,0.0,0.0,2.0,0.6024096385542169
71,36005014400,10,0.8635578583765112,0.0,2.0,3.0,5.0,327.0,252.0,302.0,277.0,0.0,0.6622516556291391,1.1904761904761905,1.8050541516245486,3.0,0.5181347150259068,7.0,1.2089810017271159,629.0,529.0,1158,2.0,8.0,0.3179650238473768,1.5122873345935728,1.0,0.08635578583765112,9.0,0.7772020725388601
72,36005014500,6,0.3705991352686844,0.0,2.0,3.0,1.0,250.0,369.0,530.0,470.0,0.0,0.37735849056603776,0.8130081300813009,0.2127659574468085,3.0,0.48465266558966075,3.0,0.3,780.0,839.0,1619,2.0,4.0,0.2564102564102564,0.47675804529201427,0.0,0.0,6.0,0.3705991352686844
73,36005014701,1,0.0946073793755913,0.0,0.0,0.0,1.0,194.0,343.0,275.0,245.0,0.0,0.0,0.0,0.40816326530612246,0.0,0.0,1.0,0.19230769230769232,469.0,588.0,1057,0.0,1.0,0.0,0.17006802721088435,0.0,0.0,1.0,0.0946073793755913
74,36005014702,1,0.09066183136899365,0.0,0.0,1.0,0.0,311.0,329.0,199.0,264.0,0.0,0.0,0.303951367781155,0.0,1.0,0.15625,0.0,0.0,510.0,593.0,1103,0.0,1.0,0.0,0.16863406408094433,1.0,0.09066183136899365,0.0,0.0
75,36005014900,5,0.4058441558441558,0.0,1.0,2.0,2.0,294.0,343.0,270.0,325.0,0.0,0.3703703703703704,0.5830903790087464,0.6153846153846154,2.0,0.3139717425431711,3.0,0.5042016806722689,564.0,668.0,1232,1.0,4.0,0.1773049645390071,0.5988023952095809,0.0,0.0,5.0,0.4058441558441558
76,36005015100,4,0.45045045045045046,0.0,1.0,1.0,2.0,306.0,153.0,179.0,250.0,0.0,0.5586592178770949,0.6535947712418301,0.8,1.0,0.2178649237472767,3.0,0.6993006993006993,485.0,403.0,888,1.0,3.0,0.2061855670103093,0.7444168734491315,1.0,0.11261261261261261,3.0,0.33783783783783783
